Date,Close,High,Low,Open,Volume,Return,MA7,MA14,MA30,Diff_MA7,Diff_MA30,Log_Volume
2018-01-30,10106.2998046875,11307.2001953125,10036.2001953125,11306.7998046875,8637859840,-0.10535219581320587,11202.843052455357,11356.421595982143,13181.0400390625,-1096.5432477678569,-3074.740234375,22.87942068549081
2018-01-31,10221.099609375,10381.599609375,9777.419921875,10108.2001953125,8041160192,0.011359232053877344,11040.22865513393,11287.314453125,13066.503352864584,-819.1290457589294,-2845.4037434895836,22.807839212338607
2018-02-01,9170.5400390625,10288.7998046875,8812.2802734375,10237.2998046875,9959400448,-0.1027834196380305,10741.820033482143,11122.71728515625,12872.784700520833,-1571.2799944196431,-3702.244661458333,23.02178271084754
2018-02-02,8830.75,9142.2802734375,7796.490234375,9142.2802734375,12726899712,-0.037052347802326024,10407.44140625,10924.38511439732,12660.443033854166,-1576.69140625,-3829.693033854166,23.266983678063564
2018-02-03,9174.91015625,9430.75,8251.6298828125,8852.1201171875,7263790080,0.03897292486481896,10083.757114955357,10658.36439732143,12446.300032552082,-908.8469587053569,-3271.3898763020825,22.706167579287083
2018-02-04,8277.009765625,9334.8701171875,8031.22021484375,9175.7001953125,7073549824,-0.09786476110758924,9582.429966517857,10421.00083705357,12141.217024739582,-1305.4202008928569,-3864.2072591145825,22.679628287734687
2018-02-05,6955.27001953125,8364.83984375,6756.68017578125,8270.5400390625,9285289984,-0.15968807377551097,8962.268484933036,10136.991524832589,11788.826025390625,-2006.9984654017862,-4833.556005859375,22.95169726281966
2018-02-06,7754.0,7850.7001953125,6048.259765625,7051.75,13999800320,0.11483809805022926,8626.225655691964,9914.534354073661,11498.039371744791,-872.2256556919638,-3744.0393717447914,23.36230890367424
2018-02-07,7621.2998046875,8509.1103515625,7236.7900390625,7755.490234375,9169280000,-0.01711377293171268,8254.82568359375,9647.527169363839,11246.412711588542,-633.52587890625,-3625.112906901042,22.939124603338286
2018-02-08,8265.58984375,8558.76953125,7637.85986328125,7637.85986328125,9346750464,0.08453807822469184,8125.547084263393,9433.683558872768,11035.419026692709,140.04275948660688,-2769.829182942709,22.958294575989378
2018-02-09,8736.98046875,8736.98046875,7884.7099609375,8271.83984375,6784820224,0.057030488314931294,8112.151436941965,9259.796421595982,10827.541715494792,624.8290318080353,-2090.561246744792,22.63795363393528
2018-02-10,8621.900390625,9122.5498046875,8295.4697265625,8720.080078125,7780960256,-0.013171607575021227,8033.150041852678,9058.453578404018,10668.078401692708,588.7503487723216,-2046.1780110677082,22.77494559386992
2018-02-11,8129.97021484375,8616.1298828125,7931.10009765625,8616.1298828125,6122189824,-0.05705588715872301,8012.144391741072,8797.287179129464,10473.057421875,117.82582310267844,-2343.0872070312507,22.535185684012774
2018-02-12,8926.5703125,8985.919921875,8141.43017578125,8141.43017578125,6256439808,0.09798315081177211,8293.758719308036,8628.013602120536,10291.93642578125,632.8115931919638,-1365.3661132812504,22.556877139668483
2018-02-13,8598.3095703125,8958.4697265625,8455.41015625,8926.7197265625,5696719872,-0.03677344497335466,8414.37437220982,8520.300013950893,10119.480078125,183.93519810267935,-1521.1705078124996,22.46315638526856
2018-02-14,9494.6298828125,9518.5400390625,8599.919921875,8599.919921875,7909819904,0.10424378247495736,8681.992954799107,8468.40931919643,9975.307747395833,812.6369280133931,-480.67786458333285,22.791370850451607
2018-02-15,10166.400390625,10234.7998046875,9395.580078125,9488.3203125,9062540288,0.07075267978887334,8953.537318638393,8539.542201450893,9931.17109375,1212.8630719866069,235.22929687500073,22.92741530280008
